Temperature,Vibration,Usage,Status,Machine
65,2.1,4,Healthy,
72,3.5,6,Warning,
85,5.8,11,Critical,
60,1.5,3,Healthy,
78,4.0,8,Warning,
90,6.2,12,Critical,
60,2.0,5,Healthy,
35,2.0,5,Healthy,
90,1.52,12,Critical,
68,5.45,10,Critical,
60,2.0,5,Healthy,
85,1.58,10,Critical,
67,3.96,11,Critical,
60,2.0,5,Healthy,
37,2.0,5,Healthy,
37,2.89,5,Healthy,
37,2.89,8,Healthy,
88,2.89,8,Critical,
51,2.89,8,Healthy,
51,5.11,8,Critical,
60,2.0,5,Healthy,Machine A
60,2.0,5,Healthy,Machine A
60,2.0,5,Healthy,Machine A
60,2.0,5,Healthy,Machine B
75,2.79,1,Warning,Machine B
60,2.0,5,Healthy,Machine A
85,3.99,5,Critical,Machine A
87,3.4,9,Critical,Machine A
72,5.88,7,Critical,Machine A
93,2.91,8,Critical,Machine A
98,3.24,9,Critical,Machine A
83,5.64,8,Critical,Machine A
92,5.17,3,Critical,Machine A
89,4.73,11,Critical,Machine A
90,5.6,5,Critical,Machine A
100,3.16,8,Critical,Machine A
81,1.74,7,Critical,Machine A
97,4.75,8,Critical,Machine A
79,5.01,10,Critical,Machine A
98,3.69,2,Critical,Machine A
68,5.85,6,Critical,Machine A
68,5.13,4,Critical,Machine A
68,4.85,11,Critical,Machine A
99,2.52,8,Critical,Machine A
68,1.92,8,Healthy,Machine A
61,5.11,1,Critical,Machine A
78,4.89,2,Warning,Machine A
88,3.35,12,Critical,Machine A
100,3.08,10,Critical,Machine A
88,3.38,2,Critical,Machine A
70,5.82,1,Critical,Machine A
84,5.6,7,Critical,Machine A
79,4.25,4,Warning,Machine A
74,1.81,9,Warning,Machine A
89,1.21,2,Critical,Machine A
95,1.78,8,Critical,Machine A
99,1.56,2,Critical,Machine A
75,3.99,8,Warning,Machine A
77,4.88,10,Warning,Machine A
68,5.27,1,Critical,Machine A
68,1.43,10,Healthy,Machine A
63,4.25,10,Warning,Machine A
76,4.14,3,Warning,Machine A
60,3.33,2,Warning,Machine A
98,3.26,9,Critical,Machine A
62,2.02,4,Healthy,Machine A
82,3.17,7,Critical,Machine A
80,2.28,10,Warning,Machine A
85,4.51,2,Critical,Machine A
73,5.76,8,Critical,Machine A
68,5.81,2,Critical,Machine A
73,5.56,9,Critical,Machine A
100,2.77,3,Critical,Machine A
75,3.95,12,Critical,Machine A
63,3.24,1,Warning,Machine A
84,3.67,12,Critical,Machine A
69,5.12,11,Critical,Machine A
100,5.53,11,Critical,Machine A
61,1.16,6,Healthy,Machine A
65,1.59,9,Healthy,Machine A
89,3.56,1,Critical,Machine A
68,4.98,9,Warning,Machine A
91,3.69,9,Critical,Machine A
100,3.82,11,Critical,Machine A
85,3.12,10,Critical,Machine A
66,2.86,11,Critical,Machine A
92,4.94,8,Critical,Machine A
62,3.4,11,Critical,Machine A
76,4.54,2,Warning,Machine A
79,4.43,8,Warning,Machine A
76,5.71,5,Critical,Machine A
86,2.07,5,Critical,Machine A
68,3.57,10,Warning,Machine A
86,3.98,12,Critical,Machine A
100,4.47,10,Critical,Machine A
85,2.69,9,Critical,Machine A
96,1.17,5,Critical,Machine A
89,3.55,11,Critical,Machine A
77,2.46,7,Warning,Machine A
62,4.18,5,Warning,Machine A
94,4.95,6,Critical,Machine A
76,1.44,12,Critical,Machine A
92,2.05,9,Critical,Machine A
97,2.35,9,Critical,Machine A
95,1.73,9,Critical,Machine A
83,4.03,3,Critical,Machine A
62,1.96,11,Critical,Machine A
82,3.66,7,Critical,Machine A
96,3.39,1,Critical,Machine A
75,2.97,3,Warning,Machine A
80,3.93,10,Warning,Machine A
86,3.11,9,Critical,Machine A
63,5.81,3,Critical,Machine A
98,2.31,4,Critical,Machine A
70,5.1,10,Critical,Machine A
65,3.34,11,Critical,Machine A
78,4.76,2,Warning,Machine A
94,5.05,6,Critical,Machine A
97,3.98,9,Critical,Machine A
60,3.28,6,Warning,Machine A
93,1.77,1,Critical,Machine A
79,1.38,5,Warning,Machine A
62,3.9,11,Critical,Machine A
84,4.9,3,Critical,Machine A
62,4.96,11,Critical,Machine A
65,4.05,7,Warning,Machine A
84,4.74,8,Critical,Machine A
70,3.6,3,Warning,Machine A
84,2.89,7,Critical,Machine A
65,5.98,2,Critical,Machine A
61,1.91,9,Healthy,Machine A
76,3.59,11,Critical,Machine A
61,4.49,11,Critical,Machine A
77,2.58,4,Warning,Machine A
75,4.06,8,Warning,Machine A
74,3.1,10,Warning,Machine A
70,2.82,5,Healthy,Machine A
79,4.64,9,Warning,Machine A
94,1.98,4,Critical,Machine A
88,5.13,10,Critical,Machine A
99,4.99,2,Critical,Machine A
60,3.31,6,Warning,Machine A
81,5.37,7,Critical,Machine A
83,5.89,2,Critical,Machine A
82,3.49,5,Critical,Machine A
60,5.19,2,Critical,Machine A
66,5.21,11,Critical,Machine A
62,5.47,2,Critical,Machine A
87,5.02,6,Critical,Machine A
73,5.49,9,Critical,Machine A
84,1.39,1,Critical,Machine A
95,4.43,1,Critical,Machine A
66,1.51,5,Healthy,Machine A
63,3.58,3,Warning,Machine A
82,3.83,6,Critical,Machine A
96,3.46,12,Critical,Machine A
76,2.91,8,Warning,Machine A
76,5.05,6,Critical,Machine A
98,5.07,5,Critical,Machine A
96,4.15,8,Critical,Machine A
77,1.85,5,Warning,Machine A
87,2.03,1,Critical,Machine A
72,1.89,5,Warning,Machine A
87,5.57,11,Critical,Machine A
99,1.85,4,Critical,Machine A
91,4.64,9,Critical,Machine A
65,5.64,9,Critical,Machine A
64,2.66,11,Critical,Machine A
73,1.59,2,Warning,Machine A
84,4.76,3,Critical,Machine A
98,4.78,8,Critical,Machine A
78,4.97,12,Critical,Machine A
65,3.12,1,Warning,Machine A
83,5.22,11,Critical,Machine A
94,2.06,4,Critical,Machine A
100,5.75,11,Critical,Machine A
84,2.93,2,Critical,Machine A
73,3.52,6,Warning,Machine A
61,1.5,2,Healthy,Machine A
85,2.48,2,Critical,Machine A
86,2.3,2,Critical,Machine A
80,2.79,2,Warning,Machine A
91,2.7,5,Critical,Machine A
88,3.1,2,Critical,Machine A
71,5.28,5,Critical,Machine A
71,2.23,1,Warning,Machine A
72,4.51,7,Warning,Machine A
97,3.18,8,Critical,Machine A
61,5.5,1,Critical,Machine A
63,1.25,9,Healthy,Machine A
88,4.79,11,Critical,Machine A
99,4.6,6,Critical,Machine A
71,4.47,4,Warning,Machine A
98,4.25,4,Critical,Machine A
91,4.5,7,Critical,Machine A
66,3.12,7,Warning,Machine A
73,2.92,2,Warning,Machine A
88,3.24,5,Critical,Machine A
65,4.9,1,Warning,Machine A
67,5.05,3,Critical,Machine A
90,1.65,12,Critical,Machine A
64,2.92,4,Healthy,Machine A
73,2.35,12,Critical,Machine A
83,5.09,1,Critical,Machine A
71,2.83,3,Warning,Machine A
99,1.91,10,Critical,Machine A
93,2.01,8,Critical,Machine A
75,1.48,9,Warning,Machine A
96,1.32,5,Critical,Machine A
60,5.08,9,Critical,Machine A
78,4.1,10,Warning,Machine A
87,3.63,7,Critical,Machine A
80,2.43,8,Warning,Machine A
80,2.14,3,Warning,Machine A
72,5.06,11,Critical,Machine A
77,1.06,12,Critical,Machine A
61,5.38,12,Critical,Machine A
64,4.9,9,Warning,Machine A
66,4.5,4,Warning,Machine A
71,2.2,11,Critical,Machine A
94,2.66,12,Critical,Machine A
90,2.68,10,Critical,Machine A
72,3.5,10,Warning,Machine A
81,2.87,5,Critical,Machine A
74,4.99,7,Warning,Machine A
74,3.74,10,Warning,Machine A
62,1.22,12,Critical,Machine A
91,4.9,1,Critical,Machine A
71,4.34,9,Warning,Machine A
72,5.91,5,Critical,Machine A
71,5.09,4,Critical,Machine A
81,2.39,10,Critical,Machine A
74,1.43,3,Warning,Machine A
74,5.17,6,Critical,Machine A
97,5.83,11,Critical,Machine A
73,2.42,5,Warning,Machine A
69,5.24,1,Critical,Machine A
81,2.19,1,Critical,Machine A
87,1.87,4,Critical,Machine A
67,3.74,10,Warning,Machine A
97,4.75,7,Critical,Machine A
65,5.36,8,Critical,Machine A
67,4.3,2,Warning,Machine A
65,5.78,11,Critical,Machine A
65,1.33,9,Healthy,Machine A
74,3.63,6,Warning,Machine A
98,4.38,6,Critical,Machine A
63,1.56,8,Healthy,Machine A
72,2.89,11,Critical,Machine A
78,1.63,1,Warning,Machine A
82,5.8,9,Critical,Machine A
76,2.53,11,Critical,Machine A
82,2.67,5,Critical,Machine A
82,5.45,7,Critical,Machine A
99,5.14,12,Critical,Machine A
81,3.38,10,Critical,Machine A
83,1.22,3,Critical,Machine A
78,4.94,2,Warning,Machine A
91,4.43,3,Critical,Machine A
83,1.14,12,Critical,Machine A
93,2.26,10,Critical,Machine A
92,3.04,8,Critical,Machine A
73,5.52,4,Critical,Machine A
72,5.78,11,Critical,Machine A
86,5.75,11,Critical,Machine A
68,2.93,10,Healthy,Machine A
85,4.84,8,Critical,Machine A
74,2.99,5,Warning,Machine A
87,1.08,8,Critical,Machine A
92,2.16,8,Critical,Machine A
76,2.33,8,Warning,Machine A
88,5.68,9,Critical,Machine A
78,2.59,3,Warning,Machine A
83,3.25,2,Critical,Machine A
90,1.29,8,Critical,Machine A
60,1.16,5,Healthy,Machine A
82,3.34,12,Critical,Machine A
67,2.32,1,Healthy,Machine A
95,4.98,7,Critical,Machine A
93,4.18,3,Critical,Machine A
96,1.18,5,Critical,Machine A
82,4.3,12,Critical,Machine A
85,2.76,7,Critical,Machine A
90,5.75,1,Critical,Machine A
83,5.48,1,Critical,Machine A
84,5.79,12,Critical,Machine A
98,3.53,6,Critical,Machine A
90,1.24,8,Critical,Machine A
88,1.56,6,Critical,Machine A
67,2.28,3,Healthy,Machine A
90,1.25,4,Critical,Machine A
100,1.99,5,Critical,Machine A
81,3.52,6,Critical,Machine A
95,4.01,9,Critical,Machine A
65,3.69,12,Critical,Machine A
68,4.31,9,Warning,Machine A
95,4.68,1,Critical,Machine A
64,4.71,9,Warning,Machine A
93,5.73,6,Critical,Machine A
72,4.51,5,Warning,Machine A
84,4.69,5,Critical,Machine A
61,2.28,4,Healthy,Machine A
94,3.72,3,Critical,Machine A
79,5.99,6,Critical,Machine A
76,4.14,3,Warning,Machine A
74,2.23,12,Critical,Machine A
98,2.19,12,Critical,Machine A
74,1.49,10,Warning,Machine A
63,4.11,9,Warning,Machine A
74,1.66,11,Critical,Machine A
98,1.23,8,Critical,Machine A
69,1.27,7,Healthy,Machine A
74,2.32,1,Warning,Machine A
